id	A�o	Revista	Titulo	Resumen	Tipo	Pais
2-s2.0-79957999223	2011	Biology of Sex Differences	Effects of a selectively bred novelty-seeking phenotype on the motivation to take cocaine in male and female rats	Background: Gender and enhanced novelty reactivity can predispose certain individuals to drug abuse. Previous research in male and female rats selectively bred for high or low locomotor reactivity to novelty found that bred High Responders (bHRs) acquire cocaine self-administration more rapidly than bred Low Responders (bLRs) and that bHR females in particular self-administered more cocaine than the other groups. The experiments presented here aimed to determine whether an individual's sex and behavioral phenotype interact to affect motivation to take cocaine. Methods: We examined motivation for taking cocaine in two experiments using a range of doses on a progressive ratio (PR) schedule of responding in bHR or bLR males and females. Additionally, we included a measure of continuing to respond in the absence of reinforcement, a feature of addiction that has been recently incorporated into tests of animal models on the basis of the criteria for substance use disorder in the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition. Statistical analyses were performed using PASW Statistics 18.0 software. Data were analyzed using repeated-measures analysis of variance followed by a Bonferroni correction post hoc test when applicable. Results: We found sex differences as well as effects of novelty reactivity on the motivation to self-administer cocaine. Specifically, females demonstrated higher breaking points on the PR schedule compared with males, regardless of phenotype, and bHR males and females exhibited higher motivation than bLR animals at a number of the doses studied. Conclusions: An individual's sex continues to be a predisposing factor with respect to drug abuse liability and can be compounded by additional individual differences such as reactivity to novelty. © 2011 Cummings et al; licensee BioMed Central Ltd.	Article	 United States
2-s2.0-67650672980	2009	Nouvelles Questions Feministes	The laws against gender violence in spain. A feminist légal analysis [Les lois intégrales contre la violence à l'égard des femmes en espagne. Une analyse à partir de la théorie juridique féministe]	This article présents the results of a qualitative research project about the integrated and multidisciplinary System of laws promulgated over the course of the last few years in Spain to combat violence against women. The research project takes as its starting point Carol Smart's outline of an analysis of law, asking whether the recommended resources to combat such violence genuinely work in women's interests. The results show how the législative flurry that has occured recently in Spain can lead to inappropriate solutions for the prévention and the genuine protection of women and how laws specifically devoted to women can even contribute to producing this violence.	Article	 J.M.G.
2-s2.0-37249092683	2008	Feminist Economics	Poland's transition and new opportunities for women	Since 1990, marketization has fundamentally altered Poland's economy. Like many former Soviet bloc countries, Polish prices, wages, and foreign trade have been liberalized, and many state assets are now privatized. Independent central banks, commercial banking systems, and stock exchanges have been formed, and the taxation and legal systems have been restructured to support a market economy. The dominant view is that this process should benefit most Poles over time. For Polish women, however, the first phase of economic transition was a mixed blessing. This paper explores their experiences in between 1990 and 2003 and discusses two positive, mutually supportive ways that Polish women have benefited during transition: First, the segmentation of the labor market has positioned women advantageously in the country's key financial sector and entrepreneurial ranks. Second, women have benefited from the growth of a women's movement. Together, these two processes can be expected to accelerate the pace of positive changes for Polish women.	Article	 United States
2-s2.0-67349131609	2009	Lingua	The role of core and non-core semantic rules in gender assignment	"In the literature on gender assignment, some scholars claim that semantic assignment rules always win, others that there is no type-wise ranking (i.e., ranking according to whether the rules are semantic, morphological or phonological) at all. This discussion necessitates a further look at semantic assignment rules that have nothing to do with the semantic core for gender. Such non-core rules are referred to as ""crazy"" here. Evidence for non-core rules is presented, and the paper presents criteria for distinguishing between plausible and implausible such rules. Some rules that have been proposed in the literature clearly fall short of the criteria. Other 'crazy' rules fare better. The paper also presents a scenario for the origin of crazy rules and discusses what they tell us about gender and about the nature of linguistic generalisations, which can be quite ""local"". © 2009 Elsevier B.V. All rights reserved."	Article	 Norway
2-s2.0-85052651081	2018	Journal of Autism and Developmental Disorders	“They Thought It Was an Obsession”: Trajectories and Perspectives of Autistic Transgender and Gender-Diverse Adolescents	Despite research exploring autism in gender-diverse adolescents, no studies have elicited these individuals’ perspectives. In-depth interviews with 22 well-characterized autistic gender-diverse adolescents revealed critical themes, including: recollections of pre-pubertal gender nonconformity; vivid experiences of gender dysphoria; a fear of social gender expression due to perceived animosity toward transgender people; and specific challenges that result from the interplay of gender diversity and neurodiversity. During the ~ 22 month study social gender affirmation increased in six participants and gender dysphoria attenuated in four participants. Given the ethical imperative to understand and prioritize the voiced perspectives and needs of autistic gender minority adolescents as well as the discovery of shared themes and experiences in this population, results should inform clinical research approaches and priorities. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.	Article	 United States
2-s2.0-84908617131	2014	Violence Against Women	From Empower to Green Dot: Successful Strategies and Lessons Learned in Developing Comprehensive Sexual Violence Primary Prevention Programming	This case study describes Kentucky’s partnership with the Centers for Disease Control and Prevention (CDC) EMPOWER (Enhancing and Making Programs Work to End Rape) program to enhance the mission and services of existing rape crisis centers to include comprehensive primary prevention programming to reduce rates of sexual violence perpetration. The planning process and the successful implementation of a statewide, 5-year, randomized control trial study of a bystander prevention program (Green Dot), and its evaluation are described. Lessons learned in generating new questions, seeking funding, building relationships and capacity, and disseminating knowledge are presented. © The Author(s) 2014.	Article	 United States
2-s2.0-85058929015	2019	Cultural Geographies	Walking a lonely path: Gender, landscape and ‘new nature writing’	‘New’ nature writing in Britain has been praised for shifting the focus of landscape appreciation towards the vernacular, the quotidian and the marginal. However, it has sometimes been accused of being insufficiently critical, and occluding questions of class, race and gender. Noting this, this article considers Carol Donaldson’s On the Marshes – an account of the diverse life of the north Kent marshes – in relation to debates concerning the way that the landscape is both walked and written. It concludes that Donaldson’s book offers a familiar trope of self-discovery via solitude, but that this takes on distinctly political dimensions given her ‘bold walking’ rejects many dominant assumptions about the way that women should experience and relate to nature. © The Author(s) 2018.	Article	 United Kingdom
2-s2.0-84989278728	2016	SAGE Open	The Relationship Between Youngsters’ Gender Role Attitudes and Individual, Home, and School Characteristics: A Review	Because of the importance of gender role attitudes (GRA) for both academic and social outcomes, it is crucial to understand how GRA is constructed and changes over time. A systematic literature review was conducted to look into the relationship between youngsters’ GRA and individual, home, and school characteristics. Thirty-five international studies were identified through searches in different databases. The review reveals that the studies mostly apply a deterministic view to studying the construction of GRA, focusing predominantly on parent–child transmission. Effects of the school environment and individuals’ own life experiences are under-studied. Also, data are mostly cross-sectional and leave little room for investigating evolutions of GRA over time. Suggestions for future research are formulated focusing on (a) a life-course approach that considers GRA as situated, experience-related, and therefore changing over time and (b) an intersectionality-informed approach investigating GRA at the intersects of multiple diversity dimensions. © 2016, © The Author(s) 2016.	Article	 Belgium
2-s2.0-84870185488	2012	Sexualities	Sex/gender identity: Moving beyond fixed and 'natural' categories	Despite feminist understandings of the socially constructed nature of sex and gender and anthropological studies of alternative constructions, western societies tend to understand sex and gender in terms of mutually-exclusive hierarchical categories. We analyze the process by which a heteronormative sex-gender-sexuality system is constructed and legitimized to the exclusion of those whose physiology and/or behaviors do not conform to it. We provide some insights into ways in which the extraordinary diversity of sex-gender can be recognized and valued on various social planes, through activism, the production and critique of popular culture, and education. © The Author(s) 2012.	Article	 Spain
2-s2.0-84925442806	2014	Peace and Conflict	The double insult: Explaining gender differences in the psychological consequences of war	Although women have been shown to be at higher mental health risk following the experience of extreme events in war, this phenomenon is not fully understood. In the present study, we investigate the role of gender norms in determining the interpretation of events and the degree of social support given to victims. Thirtyeight survivors from the Kosovo conflict in 1999 were interviewed and data was analyzed using thematic and content analysis. The findings suggest that events which are seen as affirming gender norms (such as men who were injured in fighting the enemy) evoke pride in the victim and support from the community whereas events that are seen as undermining gender norms (such as women who are sexually assaulted) evoke shame in the victim and rejection by the community. Women, we suggest, are psychologically vulnerable both because they are more likely than men to experience identity undermining events and also because the consequences of such events are more severe for women than men. © 2014 American Psychological Association.	Article	 United Kingdom
2-s2.0-77955231076	2010	Computers in Human Behavior	Exploring gender differences in online shopping attitude	While attitude and gender are important factors that affect online shopping behavior, toward online shopping attitude remains a poor understood construct. Moreover, very few studies, if any, have explicitly addressed gender differences in online shopping attitude. Using attitude as a multidimensional concept to include cognitive, affective, and behavioral components, the present study examines gender differences across the three attitudinal components. The results of empirical testing demonstrate three distinct components of online shopping attitude and significant gender differences in all three attitudinal components. The results also show that the largest gender difference is in the cognitive attitude, indicating that females value the utility of online shopping less than their male counterparts do. © 2009 Elsevier Ltd. All rights reserved.	Article	 Qatar
2-s2.0-36049023735	2007	Annales Medico-Psychologiques	Transsexualism and gender dysphoria [Transsexualisme et dysphorie de genre]	The French Agency (HAS), in the Ministry of Health, provides guidelines for the treatment of gender dysphoria and transsexualism (as defined by ICD-10, WHO, and APA DSM-IV-TR). Since it is a mental disorder, psychiatric assessment and treatment are a cardinal in the standard of care, before (minimum two years) and after SRS (sex reassignment surgery). © 2007.	Article	 France
2-s2.0-84941788243	2015	Pragmatics	The influence of the addressers’ and the addressees’ gender identities on the addressers’ linguistic politeness behavior: Some evidence from criticisms in taiwanese media discourse	People’s power and status can be manifested through the language they use. It was generally perceived that men’s speeches are more assertive and direct than women’s because of men’s higher social status in the societies. Yet, studies have argued that there should be no differencein terms of men and women’s linguistic politeness behaviors if they are in the same power position; instead, theaddressees’gender is the critical determinant to the addressers’linguistic performances. This research provided some evidence from evaluative communications in TV reality talent shows to further verify whether or not the addressers’ and the addressees’ genderidentitiesare significantly correlatedto the addressers’ linguistic politeness behavior, focusing specifically on their use of mitigating strategies forcriticism amelioration. The current analysis referred to Brown and Levinson’s (1987) politeness theory and face notion. Results manifested that it isthe addressers’ gender instead of the addressees’ gender that was relatedto the addressers’communication stylein this particular situational context. Specifically, male judges utilized more mitigating utterances than female judges did. The major implication of the findings is that the functions of politeness devices that speakers perceive and the situational information of the speech context leave greater influences on the addressers’ politeness behaviorthan the gender of their addressees. © 2015, International Pragmatics Association. All rights reserved.	Article	 Taiwan
2-s2.0-70350496633	2009	Violence Against Women	Intimate partner violence and social isolation across the rural/urban divide	Intimate partner violence (IPV) is a pervasive social problem that affects victims, families, and communities. Beginning with the acknowledgment of this phenomenon as a social problem, investigations have attempted to answer questions regarding the extent, prevalence, and the possible contributing social and psychological factors that influence this behavior. This study proposes an approach to the problem of IPV based on a unifying concept: social isolation. The authors argue that the utility of the concept of social isolation lies in its ability to encapsulate critical social-structural and social-psychological correlates of IPV. The main objective of the study is to examine the extent to which the role of social isolation in predicting IPV varies by urban/rural context. Measures of key variables were obtained from Waves 1 and 2 of the National Survey of Families and Households and the 1990 census. Results of multivariate analyses indicate that only some measures of social support (isolation) are statistically significant and only for families within rural (nonmetropolitan) counties. © The Author(s) 2009.	Article	 United States
2-s2.0-72449172489	2010	Criminal Justice and Behavior	General risk and need, gender specificity, and the recidivism of female offenders	The study examined the predictive performance of social cognitive variables derived from a gender-neutral theory of criminal behavior in relation to several variables suggested as relevant by feminist perspectives. Multivariate analyses revealed that eight gender-neutral risk factors-assessed via the Level of Service/Case Management Inventory (LS/CMI)-performed very well in the prediction of the general and violent recidivism of more than 400 adult female offenders. None of the gender-specific factors, including parenting responsibility and stress, victimization history, and self-harm, had incremental validity over the gender-neutral risk and need variables. However, financial problems and a measure of personal misfortune did predict reoffending among low-risk/low-need women. The findings suggest that risk factors derived from a gender-neutral social cognitive theory of crime are relevant for adult females and that perhaps gender-specific concerns may be best viewed as specific responsivity factors. © 2010 International Association for Correctional and Forensic Psychology.	Article	 Canada
2-s2.0-79952660186	2011	Economics of Transition	When does transition increase the gender wage gap?: An application to Belarus Pastore and Verashchagina The Gender Wage Gap during Transition	In the context of underlying stability in female participation rates, the gender wagegap, measured by the log of monthly wages, more than doubled in Belarus from 1996 to 2006. In this respect, the country has experienced a variant of the transition which occurred in the former Soviet Union where relative female wages fell by more than female participation. We have used the Machado and Mata (2005) analysis of the gender gap distribution. This reveals that the effect of coefficients on observed characteristics in widening the gap was increasing over time, especially in the lower and middle deciles of the wage distribution. At the same time, the effect of the characteristics themselves in reducing the gap was shrinking. The decomposition of changes in the gap over time, based on Juhn (1991), confirms that the contraction of women's relative wages has been caused both by a deterioration in the observed characteristics of female workers and by the associated remuneration. Changes in the residual wage distribution tend to slightly reduce the gap rather than, as is the case elsewhere, to increase it. The analysis carried out in line with Neuman and Oaxaca (2004) suggests that the increased gap was not caused by sample selection. Instead, two observed factors are found to be mainly responsible for the results: hours of work have increased for men more than for women and women have experienced segregation in low-wage industries. © 2011 The Authors. Economics of Transition © 2011 The European Bank for Reconstruction and Development.	Article	 Italy
2-s2.0-85021819243	2017	Asian Women	Advocating policy interests in local politics: Women's substantive representation in Japan and South Korea	This paper investigates how women's interests and rights are advocated in the legislatures in both the Tokyo Metropolitan Assembly (Japan) and the Seoul Metropolitan Council (South Korea). A growing body of comparative research on women's substantive representation provides insights into the kinds of policy topics that are often categorized as women's issues, as well as the personal backgrounds of the legislators who represent women's interests. We raise and analyze three key questions: Can only female legislators represent women's interests? How does a legislator's sex/gender interact with other factors such as partisanship in shaping who represents women's interests and how? How do contextual factors such as party systems impact how women's substantive representation occurs? We explore these questions in the context of the Tokyo Metropolitan Assembly and the Seoul Metropolitan Council using an in-depth examination of statements made by local council members in plenary and committee sessions (Tokyo 2009-2015 and Seoul 2009-2014). We found that similar issues are discussed as being relevant to women in the two local councils. However, the issues emphasized and where those issues are discussed vary across our cases. Female members, regardless of their party affiliation, address women's issues more often than their male counterparts in both countries, although female members of progressive parties tend to advocate for women more actively, and parties representing distinct constituencies and ideologies highlight different aspects of women's concerns. Our findings contribute to existing knowledge of women's substantive representation, as well as to research on women and politics in the Asian region.	Article	 Japan
2-s2.0-84893702233	2013	Violence Against Women	Across the High Seas: Abuse, Desertion, and Violence in Transnational Marriages in India	"This article examines the issues and concerns faced by Indian women in transnational marriages or what are popularly known as NRI marriages in India. It discusses how the Indian laws, the courts, and women try to deal with the difficulties and problems relating to issues of abuse, abandonment, and violence. It also highlights the inadequacies in laws and policies relating to such marriages in India. This article is complimentary to the article by Ann Stewart that concentrates on the ""receiving"" end of transnational marriages in the United Kingdom, and focuses on the ways in which the socio-legal context of the receiving State (in this case, the United Kingdom) presents difficulties for South Asian women. This article, conversely, takes a ""sending"" perspective, that is, the response of the home state, India, to the difficulties faced by Indian women involved in transnational marriages. © The Author(s) 2013."	Article	 India
2-s2.0-28244476424	2005	Gender, Work and Organization	Public sector reform and women's work in poland: 'Working for juice, coffee and cheap cosmetics!'	The debate on the transformation of work in east central Europe has concentrated on the restructuring of employment in manufacturing to the detriment of any discussion of the transformation of work in the service and public sectors, where the majority of women are employed. Moreover, while it is frequently recognized that women have been hit hard by job loss and unemployment, less attention has been paid the changing experiences of women in work. This article looks at the profound impact of market-driven reforms in the Polish health and education sectors implemented in the late 1990s, and considers their implications for women and their work. It reports on interviews with a cross-section of women workers in schools and hospitals and with trade union leaders at both the national and branch level. The impacts of the reforms and the experiences of women workers are discussed through the themes of changing employment levels, the restructuring of working conditions, job security, wages, training, and the double burden of balancing domestic and work lives. The general findings are that although the impact has been highly uneven between workplaces and regions, in general women have experienced an intensification of work and deteriorating working conditions. Their personal lives are not only more stressful due to the pressure at work, but also the double burden of paid and domestic work has increased due to the marketization of public provision. In both sectors, the response to reform has been widespread and militant industrial action, which has gained considerable political attention. We therefore also focus on how women have contested change, both passively and actively, through trade unionism and other political practice. © Blackwell Publishing Ltd 2005.	Article	 J.
2-s2.0-84946593326	2016	Feminist Economics	Gender Disparity in Access to the Rwandan Mutual Health Insurance Scheme	While there is a body of research on the gendered penalties of user fees within health systems in low-income countries, what is less well understood is the gendered experience of community-based health insurance (CBI) programs, which have replaced user fees for basic healthcare. This study examines the uptake of a Rwandan CBI scheme five years after the program was scaled up nationwide. Using the Enquete Intégrale sur les Conditions de Vie des ménages de Rwanda (EICV2) for 2005–6, the study finds evidence that members of female-headed households are less likely than those of male-headed households to be enrolled in the CBI program. Additionally, it finds strikingly different patterns of equity effects of CBI by gender of household head by examining consumption income and wealth. These findings suggest the need for greater attention to equity, particularly gender equity, concerning the way in which voluntary CBI programs are initially implemented and evaluated. © 2015 IAFFE.	Article	 United States
2-s2.0-33845936055	2006	Journal of Women and Aging	Treatment decision-making among older women with breast cancer	This study examined breast cancer treatment decisionmaking among older adults, including professional and lay involvement. Thirty respondents were interviewed for this study; cancer survivors (70%) and newly diagnosed (30%) women with breast cancer. Respondents reported making treatment decisions in consultation with their oncologists. However, women differed on the extent to which they perceived their participation in the treatment process. Respondents' oncologists appear to be the primary factor associated with older women's breast cancer surveillance decision-making and adherence. The influence of women's support systems on their treatment decisions and surveillance activities appears to be minimal. Informal support systems, however, likely enhance women's ability to be active participants in their care. The growing need for interventions which target older women has been indicated. Interventions, however, cannot be adequately developed without first identifying the physical and psychosocial phenomena which affect decision-making. Copyright © by The Haworth Press, Inc. All rights reserved.	Article	 United States
2-s2.0-85046020381	2018	Studies in Educational Evaluation	Self-assessment of the oral presentation competence: Effects of gender and student's performance	Oral presentation competence is critical to graduates’ employability. Improving this competence involves developing self-assessment skills that help students to analyze their own performance. However, more research is needed on the factors affecting self-assessment of the oral presentation competence, such as the speaker's confidence and the summative use of self-assessment that can act as a sort of incentive for students. A study with 201 students was carried out, focusing on a segmentation analysis and differentiating by gender and level of performance on the assessed competence. Results show that: (1) the existence of incentives is the only variable that significantly influences men's self-assessment, whereas women's self-assessment is basically conditioned by their confidence as speakers; and (2) the self-assessment of the worst speakers, rated by teachers, is influenced only by the existence of incentives, whereas the best speakers give themselves higher scores when they feel confident about speaking in public. © 2018 Elsevier Ltd	Article	 Spain
2-s2.0-84990214942	2017	Journal of Women and Aging	Long-term effects of back extensor strengthening exercises on quality of life in women with osteoporosis	The aim of the present study was to evaluate the long-term effect of back extensor strengthening exercises on health-related quality of life (QOL) in women with osteoporosis. In this randomized clinical trial, 183 women with osteoporosis were treated with pharmacotherapy and weight-bearing and balance-training exercises. The case group additionally performed back extensor exercises at home. Patients filled out the Persian version of the Short Form (SF-36) QOL questionnaire at baseline and 6 months post treatment. At the end, all physical and mental parameters of the SF-36 questionnaire improved significantly in the case group, except for one subscale of mental health, compared to the control group. In the control group, only some physical health dimensions (bodily pain, role limitation, physical function, vitality), and mental health status as a mental health subscale improved. In conclusion, considering a major impact of back extensor exercises on improving QOL in women with osteoporosis over the long term, these exercises should be prescribed in routine management of these patients. © 2017 Taylor & Francis.	Article	 Iran
2-s2.0-85015099915	2017	Biodemography and Social Biology	Gender and Health Behavior Clustering among U.S. Young Adults	U.S. trends in population health suggest alarming disparities among young adults, who are less healthy across most measureable domains than their counterparts in other high-income countries; these international comparisons are particularly troubling for women. To deepen our understanding of gender disparities in health and underlying behavioral contributions, we document gender-specific clusters of health behavior among U.S. young adults using nationally representative data from the National Longitudinal Study of Adolescent to Adult Health. We find high levels of poor health behavior, but especially among men; 40 percent of men clustered into a group characterized by unhealthy behavior (e.g., poor diet, no exercise, substance use), compared to only 22 percent of women. Additionally, women tend to age out of unhealthy behaviors in young adulthood more than men. Further, we uncover gender differences in the extent to which sociodemographic position and adolescent contexts inform health behavior clustering. For example, college education was more protective for men, whereas marital status was equally protective across gender. Parental drinking mattered for health behavior clustering among men, whereas peer drinking mattered for clustering among women. We discuss these results in the context of declining female advantage in U.S. health and changing young adult social and health contexts. © 2017 Society for Biodemography and Social Biology.	Article	 United States
2-s2.0-84880457546	2013	Journal of International and Intercultural Communication	Malaysian Cerita Hantu: Intersections of Race, Religiosity, Class, Gender, and Sexuality	"Malay(sian) cerita hantu (ghost stories) are not merely innocuous renderings meant to entertain or instill fear-they are places where socio-cultural worldviews are constituted. We use ethnographic observations to explore how cerita hantu are also reflections of interconnected cultural perspectives around race, class, religiosity, sexuality, and gender. Such intercultural workings are maintained and perpetuated in complex cultural processes, which we call ""hauntings,"" that negotiate group identification, solidarity and separation, social hierarchies, and that situate normative order. © 2013 Copyright National Communication Association."	Article	 United States
2-s2.0-85059641812	2019	Gender and Society	Diverging by Gender: Syrian Refugees’ Divisions of Labor and Formation of Human Capital in the United States	In this article, I examine how Syrian refugee men and women shifted their household divisions of labor in their initial years of resettlement in the United States. I combine and extend relational approaches from gender theory and economic sociology to examine how men’s and women’s behaviors shifted, the resources engendered by behavioral shifts, and how they interpreted and compensated for new behaviors and resources. I show that shifts in Syrian household divisions of labor occurred at the intersection of inequalities in social policies, labor markets, and households. As a result of limited social assistance, the refugee families needed to earn an income within months of their arrival. The Syrian men entered the labor market, in keeping with a breadwinning expectation for their labor, but could only access menial jobs that limited their time and opportunity to learn English. Women, meanwhile, did not enter the labor market full-time and could attend English classes. By observing this divergence in men’s and women’s language learning, I theorize human capital as a gendered outcome of household divisions of labor. © 2019 by The Author(s).	Article	 United States
2-s2.0-68249140109	2009	Merrill-Palmer Quarterly	Gender similarities and differences in preadolescent peer groups: Group structure and ethnic diversity	The Social Cognitive Mapping procedure was used to identify peer social groups in 26 fifth-grade classrooms from six elementary schools in a northeastern urban school district. Four group structural features were examined: size, the number of subcliques, cohesion, and salience hierarchy. Ethnic diversity index was calculated for each group. An ethnically diverse sample of 318 fifth-grade students participated in the study, and 80 peer groups were included in the analyses. No gender difference was found in group size, cohesion, salience hierarchy, or ethnic diversity. Reliable gender differences were found in the number of subcliques within a group and in the individual child's involvement in any subclique, with higher levels for girls than for boys. However, the overall prevalence of subcliques was low. The findings highlighted strong similarities across the two genders and contradicted the predictions made by traditional sexualselection theory. Group features varied by status, indicating significant withingender variations. © 2009 by Wayne State University Press.	Article	 United States
2-s2.0-84979031531	2016	Journal of Bisexuality	AnaÃ¯s, Henry, and June: Reading Nonmonogamy in Literature	This article proposes a new reading methodology based on consensual nonmonogamous practices. Such a methodology, applied to texts whose characters engage in extramarital affairs, would shift the discussion from the axis of legitimacy/illegitimacy to an understanding of relationships based instead on mutual consent and sex positivity. Using AnaÃ¯s Nin's famous Journals (and particularly Volume I [1931-1934] and Henry and June: The Unexpurgated Diary (1931-1932)of AnaÃ¯s Nin) as paradigm, the author argues that the story of Henry and June is that of a coming of age of a polyamorous woman. This bold claim allows the author to compare this understanding of Nin with that of scholars and literary critics who read her affairs as illegitimate (notably critics who immediately responded to the scandalous revelations of her affairs with the publication of Henry and June in 1986). Reading Nin as a polyamorist rather than an adulteress transforms our understanding of her actions and even her persona as a writer. As an adulteress, she is a self-deceiving liar, a selfish, hypersexual woman who broke her husband's heart, and whose writing can hardly be trusted to reveal the truth. As a polyamorist, we can separate her relationships entirely from questions of truth and morality by recognizing that multiple romantic and/or sexual relationships with different partners can be perfectly healthy and have no bearing on a person's moral character or skills. My proposition for a reading methodology based in polyamory calls for a reconsideration of the literary tradition of the adultery novel, and particularly its intrinsic misogyny and sex negativity. More generally, this article also urges literary scholars to pay attention to the impact of mononormativity (or the set of discourses that posit monogamy as natural and uniquely desirable) into cultural products such as novels as well as literary metatexts. Â© 2016 Taylor & Francis Group, LLC.	Article	 United States
2-s2.0-78650491481	2010	Feministische Studien	Family policies in conflict with gender equality? Reflections on paradox performances in the recent reform processes in Germany [Familienpolitik ohne Gleichstellungspolitik? zu einigen Paradoxien aktueller familien-politischer Interventionen in Deutschland]	"This article analyses the lack of gender equality within the realm of family policies in Germany due to the conservativecorporate model of welfare-regime (Esping Andersen). Family policies in western Germany have promoted strong male breadwinner models which will become obsolete but [always] still persist. We argue that the recent turn in family policies which started at the beginning of this century can be seen as a late modernisation focussing on reforms which, connect family policies with employment policy, and gender equality with, the demands of employed parents. Two reforms, representative for this change are analysed in detail: the programme to significantly expand [of] publicly-provided childcare for young children (TAG) and the introduction of an earning-related parental benefit which strengthens the role of fathers as caregivers. Special attention is given to the expansion of family policies at the company level. Whether this ""economic turn"" is actually having an additional impact on gender equality is highly disputed in feminist studies. Family policies in conflict with gender equality? Reflections on paradox performances in the recent reform processes in Germany."	Article	 M.
2-s2.0-67650828333	2008	Journal of Popular Film and Television	Post-princess models of gender: The new man in disney/pixar	"Unlike most Disney animated films, which have been criticized for decades for their stereotypical female leads and traditional representations of gender, all the major features released by Disney's Pixar studios since 1990 have featured masculine protagonists. These male plots are remarkably alike, and together, we argue, they indicate a rather progressive postfeminist model of gender. Beginning with alpha-male traits in common, from emotional inaccessibility to keen competitiveness, the stars of these stories follow similar bildungsroman plots. In this article, we chart the pattern of masculine development in three of these films—Cars, Toy Story, and The Incredibles—noting that Pixar consistently promotes a new model of masculinity. From the revelation of the alpha male's flaws, including acute loneliness and vulnerability, to figurative emasculation through even the slightest disempowerment, each character travels through a significant homosocial relationship and ultimately matures into an acceptance of his more traditionally ""feminine"" aspects. © 2008 Taylor & Francis Group, LLC."	Article	 United States
2-s2.0-84982084270	2016	Journal of LGBT Youth	Teachers’ knowledge, attitudes, and supportive behaviors toward LGBT students: Relationship to Gay-Straight Alliances, antibullying policy, and teacher training	This study focused on the association between 3 school-level supports for lesbian, gay, bisexual, and transgender (LGBT) students and teachers’ knowledge, attitudes, and behaviors toward LGBT youth. Framed within social support theory, the study used survey method with a sample of 98 teachers in Grades 6–12. The purpose was to examine the relation among GSAs, enumerated antibullying policies, and provision of LGBT-related training and teachers’ knowledge and attitudes, as well as the frequency with which teachers engage in behaviors or activities to support LGBT youth. Results demonstrate that teachers reported a higher frequency of engaging in behaviors to support LGBT students when they worked in a school with an active GSA or enumerated antibullying policy and received training specifically related to LGBT youth. Across all teachers, ratings of the frequency of taking on supportive roles were significantly lower compared with their ratings of the importance of doing so. Despite acknowledging the need to support LGBT youth, teachers may not consistently intervene on behalf of LGBT students. Limitations as well as implications of these results for enhancing teacher training are discussed. © 2016 Taylor & Francis.	Article	 United States
2-s2.0-55149106845	2008	Archives of Sexual Behavior	Adjustment among mothers reporting same-gender sexual partners: A study of a representative population sample from Quebec province (Canada)	We examined the well-being of mothers and non-mothers reporting exclusive opposite-gender sexual partners (OG), same-gender sexual partners (SG), or both (BI) in a representative sample of 20,773 participants (11,034 women) 15-years-old or older from the population of Quebec province in Canada. Participants completed a self-administered questionnaire and SG and BI women (n = 179) were matched to a sample of OG women (n = 179) based on age, income, geographical area, and children (having at least one 18-year-old or younger biological or adopted child at home). We assessed social milieu variables, risk factors for health disorders, mental health, and quality of mothers' relationship with children. The findings indicated a sexual orientation main effect: Mothers and non-mothers in the SG and BI group, as compared to their OG controls, were significantly less likely to live in a couple relationship, had significantly lower levels of social support, higher prevalence of early negative life events, substance abuse, suicide ideation, and higher levels of psychological distress. There were no Sexual Orientation X Parenthood status effects. The results further indicated that sexual orientation did not account for unique variance in women's psychological distress beyond that afforded by their social milieu, health risk factors, and parenthood status. No significant differences were found for the quality of mothers' relationship with children. SG-BI and OG mothers with low levels of social integration were significantly more likely to report problems with children than parents with high levels of social integration. We need to understand how marginal sexualities and their associated social stigma, as risk indicators for mothers, interact with other factors to impact family life, parenting skills, and children's adjustment. © 2007 Springer Science+Business Media, LLC.	Article	 Canada
2-s2.0-69849124609	2008	Journal of GLBT Family Studies	Activist parenting and GLBTQ families	This article utilizes examples from four different feminist, constructionist, sociological research projects to illustrate the centrality of activist parenting to current understandings of GLBTQ-related parenting and GLBTQ family studies. Specifically, we suggest that GLBTQ-related parenting can be better understood if we pay attention to how it is political, relational, and specific. We begin the article by reviewing key work about activist mothering. Next, we discuss research about parents in PFLAG (Parents, Families, and Friends of Lesbians and Gays) to show how a form of activist parenting is central to their narratives. We then briefly discuss three other research examples of GLBT-related parenting to further illustrate how different forms of GLBTQ-related parenting today are political, race/class/gender/sexuality specific, and related to each other. © 2008 by The Haworth Press.	Article	 United States
2-s2.0-85064689429	2019	Gender, Place and Culture	Challenging landscapes of sociological thinking on everyday family lives in the UK: taking the yellow brick road	This paper considers several critical and feminist interventions that colleagues and I have inserted into some key sociological perspectives and policy terrains in the families field: economic rationality, personal life, brain science, and social change. I use the metaphor of the ‘yellow brick road’ to discuss the challenges we made to the universalistic, decontextualized and unsituated thinking that often underpins and characterises intellectual and policy landscapes, and to think about how concepts of time and space can enhance understanding and bring the relationship between social divisions and everyday family lives in location into view. I conclude with some reflection on future possibilities and challenges in the families field. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.	Article	 United Kingdom
